method,year,rmse,s1,s2,oos
OLS,2016,0.16605868877380853,1844.5795511408667,1679.760904756592,-0.09812030147716633
Ridge,2016,0.15979732122196602,1708.0995194130558,1679.760904756592,-0.016870624013344493
CART,2016,0.1583973803988887,1678.3022270017657,1679.760904756592,0.0008683841555638949
RF,2016,0.15827346768670553,1675.6774154475534,1679.760904756592,0.00243099437394656
GBDT,2016,0.1591914311938988,1695.1711618219613,1679.760904756592,-0.00917407770458989
XGBoost,2016,0.20904338612543746,2923.122691120304,1679.760904756592,-0.7402016458669056
NN1,2016,0.15938991262087368,1699.400908855922,1679.760904756592,-0.011692142639893044
NN2,2016,0.15803638596350109,1670.6610983999658,1679.760904756592,0.0054173223884770305
NN3,2016,0.15790810881247233,1667.9500686755143,1679.760904756592,0.0070312602511660716
NN4,2016,0.1584848114625173,1680.155493078602,1679.760904756592,-0.00023490743289267257
New Tree,2016,0.15799620387675734,1669.8116469967508,1679.760904756592,0.0059230201939263205
