method,year,rmse,s1,s2,oos
OLS,2017,0.15081378219910044,1515.6222863082103,1349.9073915053802,-0.1227601951405195
Ridge,2017,0.14442209777448634,1389.876517607568,1349.9073915053802,-0.02960879120575477
CART,2017,0.14232050076463892,1349.720505361744,1349.9073915053802,0.00013844367755322384
RF,2017,0.14213014511944,1346.1123801148867,1349.9073915053802,0.002811312401409527
GBDT,2017,0.1426710286781013,1356.377274250169,1349.9073915053802,-0.004792834519984135
XGBoost,2017,0.23465401025320337,3669.1450517218423,1349.9073915053802,-1.7180716801840092
NN1,2017,0.14694480730159873,1438.8562477175499,1349.9073915053802,-0.06589256179490666
NN2,2017,0.1422692753799055,1348.7490710422337,1349.9073915053802,0.0008580740208072868
NN3,2017,0.14225819499343628,1348.5389894353905,1349.9073915053802,0.0010137007016931543
NN4,2017,0.14242040575777937,1351.6161022067638,1349.9073915053802,-0.0012657984630175534
New Tree,2017,0.14221765302363018,1347.7704623711434,1349.9073915053802,0.001583019063147617
