method,year,rmse,s1,s2,oos
OLS,2018,0.15708887406804023,1659.5718442673317,1674.8170910195408,0.009102633854141451
Ridge,2018,0.15705111010915465,1658.7740223956966,1674.8170910195408,0.00957899743791013
CART,2018,0.15683736898744544,1654.2620268289231,1674.8170910195408,0.012273020320150207
RF,2018,0.15671357102638472,1651.651508160044,1674.8170910195408,0.01383170913630627
GBDT,2018,0.15590910274044964,1634.7379646372174,1674.8170910195408,0.023930449836719436
XGBoost,2018,0.24253384809216075,3955.942032718756,1674.8170910195408,-1.362014367975303
NN1,2018,0.16048184010833147,1732.0363213984047,1674.8170910195408,-0.03416446529336037
NN2,2018,0.1567666369492226,1652.7702530167608,1674.8170910195408,0.013163728816117493
NN3,2018,0.15648087457107676,1646.7502336922923,1674.8170910195408,0.016758162713853664
NN4,2018,0.157952794949794,1677.8758935032397,1674.8170910195408,-0.001826350172863922
New Tree,2018,0.1563673395442149,1644.3614944098842,1674.8170910195408,0.01818443146595594
